timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1574356482138,25,PDP2,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to prod-co.corona.co:443 [prod-co.corona.co/13.90.152.140] failed: Connection refused (Connection refused),172.30.0.44-Thread Group 1-370,text,false,,2799,0,462,462,https://prod-co.corona.co/productos/sanitarios/orinales/orinal-arrecife-entrada-superior/p/O61061001,0,0,25
1574356482157,8,PDP2,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to prod-co.corona.co:443 [prod-co.corona.co/13.90.152.140] failed: Connection refused (Connection refused),172.30.0.44-Thread Group 1-402,text,false,,2799,0,461,461,https://prod-co.corona.co/productos/sanitarios/orinales/orinal-arrecife-entrada-superior/p/O61061001,0,0,8
1574356482144,24,PDP1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to prod-co.corona.co:443 [prod-co.corona.co/13.90.152.140] failed: Connection refused (Connection refused),172.30.0.44-Thread Group 1-376,text,false,,2799,0,461,461,https://prod-co.corona.co/productos/sanitarios/sanitarios-individuales/sanitario-aquapro-blanco/p/CO-001302,0,0,24
1574356482122,46,PDP2,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to prod-co.corona.co:443 [prod-co.corona.co/13.90.152.140] failed: Connection refused (Connection refused),172.30.0.44-Thread Group 1-384,text,false,,2799,0,461,461,https://prod-co.corona.co/productos/sanitarios/orinales/orinal-arrecife-entrada-superior/p/O61061001,0,0,46
1574356482168,12,PLP2,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to prod-co.corona.co:443 [prod-co.corona.co/13.90.152.140] failed: Connection refused (Connection refused),172.30.0.44-Thread Group 1-376,text,false,,2799,0,457,457,https://prod-co.corona.co/productos/revestimientos/decorados/c/decorados?q=%3Arelevance%3Aprice%3A%252420000%2B-%2B%252449999&text=#,0,0,12
1574356482181,9,PDP2,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to prod-co.corona.co:443 [prod-co.corona.co/13.90.152.140] failed: Connection refused (Connection refused),172.30.0.44-Thread Group 1-376,text,false,,2799,0,454,454,https://prod-co.corona.co/productos/sanitarios/orinales/orinal-arrecife-entrada-superior/p/O61061001,0,0,9
1574356482236,3,PDP2,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to prod-co.corona.co:443 [prod-co.corona.co/13.90.152.140] failed: Connection refused (Connection refused),172.30.0.44-Thread Group 1-372,text,false,,2799,0,450,450,https://prod-co.corona.co/productos/sanitarios/orinales/orinal-arrecife-entrada-superior/p/O61061001,0,0,2
1574356482335,4,PDP2,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to prod-co.corona.co:443 [prod-co.corona.co/13.90.152.140] failed: Connection refused (Connection refused),172.30.0.44-Thread Group 1-386,text,false,,2799,0,446,446,https://prod-co.corona.co/productos/sanitarios/orinales/orinal-arrecife-entrada-superior/p/O61061001,0,0,4
1574356482558,2,PDP2,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to prod-co.corona.co:443 [prod-co.corona.co/13.90.152.140] failed: Connection refused (Connection refused),172.30.0.44-Thread Group 1-366,text,false,,2799,0,435,435,https://prod-co.corona.co/productos/sanitarios/orinales/orinal-arrecife-entrada-superior/p/O61061001,0,0,2
1574356452492,32662,HOME,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,172.30.0.44-Thread Group 1-499,text,false,,2725,0,432,432,https://prod-co.corona.co/,0,0,32662
1574356448536,36618,HOME,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,172.30.0.44-Thread Group 1-91,text,false,,2725,0,432,432,https://prod-co.corona.co/,0,0,36618
1574356448496,36658,HOME,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,172.30.0.44-Thread Group 1-87,text,false,,2725,0,432,432,https://prod-co.corona.co/,0,0,36658
1574356450262,34893,HOME,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,172.30.0.44-Thread Group 1-260,text,false,,2725,0,432,432,https://prod-co.corona.co/,0,0,34893
1574356450354,34801,HOME,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,172.30.0.44-Thread Group 1-270,text,false,,2725,0,432,432,https://prod-co.corona.co/,0,0,34801
1574356450183,34972,HOME,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,172.30.0.44-Thread Group 1-252,text,false,,2725,0,432,432,https://prod-co.corona.co/,0,0,34972
1574356450280,34875,HOME,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,172.30.0.44-Thread Group 1-262,text,false,,2725,0,432,432,https://prod-co.corona.co/,0,0,34875
1574356450243,34912,HOME,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,172.30.0.44-Thread Group 1-258,text,false,,2725,0,432,432,https://prod-co.corona.co/,0,0,34912
1574356450202,34954,HOME,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,172.30.0.44-Thread Group 1-254,text,false,,2725,0,432,432,https://prod-co.corona.co/,0,0,34954
1574356450336,34820,HOME,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,172.30.0.44-Thread Group 1-268,text,false,,2725,0,432,432,https://prod-co.corona.co/,0,0,34820
1574356450595,34561,HOME,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,172.30.0.44-Thread Group 1-296,text,false,,2725,0,432,432,https://prod-co.corona.co/,0,0,34561
1574356450225,34931,HOME,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,172.30.0.44-Thread Group 1-256,text,false,,2725,0,432,432,https://prod-co.corona.co/,0,0,34931
1574356450410,34747,HOME,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,172.30.0.44-Thread Group 1-276,text,false,,2725,0,432,432,https://prod-co.corona.co/,0,0,34747
1574356450299,34858,HOME,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,172.30.0.44-Thread Group 1-264,text,false,,2725,0,432,432,https://prod-co.corona.co/,0,0,34858
1574356450613,34544,HOME,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,172.30.0.44-Thread Group 1-298,text,false,,2725,0,432,432,https://prod-co.corona.co/,0,0,34544
1574356450373,34784,HOME,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,172.30.0.44-Thread Group 1-272,text,false,,2725,0,432,432,https://prod-co.corona.co/,0,0,34784
1574356450539,34618,HOME,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,172.30.0.44-Thread Group 1-290,text,false,,2725,0,432,432,https://prod-co.corona.co/,0,0,34618
1574356450391,34767,HOME,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,172.30.0.44-Thread Group 1-274,text,false,,2725,0,432,432,https://prod-co.corona.co/,0,0,34767
1574356450447,34711,HOME,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,172.30.0.44-Thread Group 1-280,text,false,,2725,0,432,432,https://prod-co.corona.co/,0,0,34711
1574356450761,34397,HOME,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,172.30.0.44-Thread Group 1-314,text,false,,2725,0,432,432,https://prod-co.corona.co/,0,0,34397
1574356450576,34582,HOME,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,172.30.0.44-Thread Group 1-294,text,false,,2725,0,432,432,https://prod-co.corona.co/,0,0,34582
1574356450669,34489,HOME,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,172.30.0.44-Thread Group 1-304,text,false,,2725,0,432,432,https://prod-co.corona.co/,0,0,34489
1574356450558,34601,HOME,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,172.30.0.44-Thread Group 1-292,text,false,,2725,0,432,432,https://prod-co.corona.co/,0,0,34601
1574356450502,34657,HOME,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,172.30.0.44-Thread Group 1-286,text,false,,2725,0,432,432,https://prod-co.corona.co/,0,0,34657
1574356450687,34472,HOME,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,172.30.0.44-Thread Group 1-306,text,false,,2725,0,432,432,https://prod-co.corona.co/,0,0,34472
1574356450724,34435,HOME,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,172.30.0.44-Thread Group 1-310,text,false,,2725,0,432,432,https://prod-co.corona.co/,0,0,34435
1574356485157,2,PLP1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,Non HTTP response message: Connect to prod-co.corona.co:443 [prod-co.corona.co/13.90.152.140] failed: Connection refused (Connection refused),172.30.0.44-Thread Group 1-296,text,false,,2799,0,432,432,https://prod-co.corona.co/productos/revestimientos/pisos/c/pisos,0,0,2
1574356450465,34695,HOME,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,172.30.0.44-Thread Group 1-282,text,false,,2725,0,432,432,https://prod-co.corona.co/,0,0,34695
1574356450743,34417,HOME,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,172.30.0.44-Thread Group 1-312,text,false,,2725,0,432,432,https://prod-co.corona.co/,0,0,34417
